Name,Role
Greg Lee,President
Eljakim Schrijvers,Treasurer
Bernard Cheng Yian Tan,Chairman
Ágnes Erdősné Németh,IC member
Araz Yusubov,IC member
Benjamin Burton,IC member
Eduards Kaļiņičenko,IC member
Eslam Wageed,IC member
Mile Jovanov,IC member
Steven Halim,IC member
Sun Teck Tan,IC member
Valentina Dagienė,IC member
Yugo Kartono Isal,IC member
Ali Sharifi Zarchi,ISC member
Farid Ahmadov,ISC member
Jakub Łącki,ISC member
Jonathan Irvin Gunawan,ISC member
Mikhail Tikhomirov,ISC member
Wei Liang Gan,ISC member
Ashar Fuadi,ITC member
Fredrik Niemelä,ITC member
Jamaladdin Hasanov,ITC member
Martin Mareš,ITC member
Ranald Yun Shao Lam,ITC member
Wael Ewida,ITC member
William Di Luigi,ITC member
